CustomerID,FirstName,LastName,Email,Phone,Address,City,State,ZIPCode,Country
1,John,Doe,john.doe@example.com,555-1234,123 Elm St,Springfield,IL,62701,USA
2,Jane,Smith,jane.smith@example.com,555-5678,456 Oak St,Lincoln,NE,68508,USA
3,Bob,Johnson,bob.johnson@example.com,555-8765,789 Pine St,Columbus,OH,43215,USA
4,Alice,Williams,alice.williams@example.com,555-4321,101 Maple St,Dayton,OH,45402,USA
5,Charlie,Brown,charlie.brown@example.com,555-6789,202 Birch St,Des Moines,IA,50309,USA
6,Emily,Davis,emily.davis@example.com,555-3456,303 Cedar St,Denver,CO,80202,USA
7,Michael,Wilson,michael.wilson@example.com,555-7890,404 Willow St,Seattle,WA,98101,USA
8,Olivia,Martinez,olivia.martinez@example.com,555-2345,505 Spruce St,San Francisco,CA,94105,USA
9,James,Anderson,james.anderson@example.com,555-6780,606 Redwood St,Portland,OR,97205,USA
10,Sophia,Thomas,sophia.thomas@example.com,555-8901,707 Fir St,New York,NY,10001,USA
